iter	RMSE
0	16.8499439
1	15.19718855
2	13.83185787
3	12.79184859
4	11.96570655
5	11.31599458
6	10.80315357
7	10.39723468
8	10.07706716
9	9.82878765
10	9.620702545
11	9.46486133
12	9.33782409
13	9.249497627
14	9.171270532
15	9.108562168
16	9.059658356
17	9.021348578
18	8.986892748
19	8.960192033
20	8.938754929
21	8.920830981
22	8.907637529
23	8.895510193
24	8.885634206
25	8.877744244
26	8.870885856
27	8.865269134
28	8.861270109
29	8.857744168
30	8.855238249
31	8.852425011
32	8.849802437
33	8.847895275
34	8.845871784
35	8.844168018
36	8.842909454
37	8.841714981
38	8.841000087
39	8.840047763
40	8.83898256
41	8.838174774
42	8.837606873
43	8.836902424
44	8.836445094
45	8.835674443
46	8.835375146
47	8.834645365
48	8.833748418
49	8.83330566
50	8.832361132
51	8.831795014
52	8.83116667
53	8.830766204
54	8.830339475
55	8.829833628
56	8.829597773
57	8.829446764
58	8.828847378
59	8.828368056
60	8.82811562
61	8.827823619
62	8.826961583
63	8.8266102
64	8.826585383
65	8.826507695
66	8.825967819
67	8.825222152
68	8.825039413
69	8.824521751
70	8.823870943
71	8.823694651
72	8.822917129
73	8.822341049
74	8.821990921
75	8.821516624
76	8.821024668
77	8.820043192
78	8.819351738
79	8.819223952
80	8.818906098
81	8.818202675
82	8.81744699
83	8.817091267
84	8.816595463
85	8.816026532
86	8.815417231
87	8.814677875
88	8.814123587
89	8.813650308
90	8.813045525
91	8.812460514
92	8.811964089
93	8.811130767
94	8.810578058
95	8.810040088
96	8.809738479
97	8.808962968
98	8.808413006
99	8.808063045
100	8.807693246
101	8.80713131
102	8.806724703
103	8.806279506
104	8.805947485
105	8.805484943
106	8.805025621
107	8.804480461
108	8.804148733
109	8.803668427
110	8.803370567
111	8.803067647
112	8.802429318
113	8.802079119
114	8.801724939
115	8.801443605
116	8.801104909
117	8.800482671
118	8.800082972
119	8.799692275
120	8.799411596
121	8.798749911
122	8.798389102
123	8.798235754
124	8.797930132
125	8.79749748
126	8.797022223
127	8.79655019
128	8.796166914
129	8.795925464
130	8.795652606
131	8.795212262
132	8.794932524
133	8.794588524
134	8.794378796
135	8.794152458
136	8.793815648
137	8.793558248
138	8.793164373
139	8.792754232
140	8.79230941
141	8.792035718
142	8.791682577
143	8.791348561
144	8.79113659
145	8.790844082
146	8.790592374
147	8.790179224
148	8.789843345
149	8.789550434
150	8.78953707
151	8.789457249
152	8.789160713
153	8.788812875
154	8.78858242
155	8.788210356
156	8.78793762
157	8.787633808
158	8.78744559
159	8.786929688
160	8.786679312
161	8.78647879
162	8.786233821
163	8.785754342
164	8.785544765
165	8.78523834
166	8.785020078
167	8.784845176
168	8.784733872
169	8.784463558
170	8.784165769
171	8.78383472
172	8.783553896
173	8.783288244
174	8.783095958
175	8.782592451
176	8.782568594
177	8.782370508
178	8.782025655
179	8.781665243
180	8.781561853
181	8.7813341
182	8.781109956
183	8.780919791
184	8.780698168
185	8.780301184
186	8.780003616
187	8.779796071
188	8.779574781
189	8.779354932
190	8.779241027
191	8.779022255
192	8.778636406
193	8.778132281
194	8.777831746
195	8.777611853
196	8.777272238
197	8.776949248
198	8.7765955
199	8.776265612
200	8.776184585
201	8.775915093
202	8.775662956
203	8.775445179
204	8.775298304
205	8.774943042
206	8.774668447
207	8.774500574
208	8.774195572
209	8.773975226
210	8.773795761
211	8.773585899
212	8.773277247
213	8.772686689
214	8.772434098
215	8.772203937
216	8.772169557
217	8.771745767
218	8.771337159
219	8.771091767
220	8.770943009
221	8.770638246
222	8.770631007
223	8.770345779
224	8.770095292
225	8.769823802
226	8.769539996
227	8.769247131
228	8.769154454
229	8.768922035
230	8.768709521
231	8.768655577
232	8.768404318
233	8.768299323
234	8.768176223
235	8.767884761
236	8.767646514
237	8.767496611
238	8.767307961
239	8.766818394
240	8.766670288
241	8.766430198
242	8.766206397
243	8.765871411
244	8.765647596
245	8.765396613
246	8.765148882
247	8.764895711
248	8.764643982
249	8.76426728
250	8.764051393
251	8.763745666
252	8.763569976
253	8.763413845
254	8.763067521
255	8.762949782
256	8.762649813
257	8.762435698
258	8.762059626
259	8.761843323
260	8.761671218
261	8.761471211
262	8.761223007
263	8.760977694
264	8.760480888
265	8.76030912
266	8.760142783
267	8.759951076
268	8.759759727
269	8.759591206
270	8.759502414
271	8.759330988
272	8.759165721
273	8.758821041
274	8.758648515
275	8.758551014
276	8.758312514
277	8.758059146
278	8.757737259
279	8.757353735
280	8.757289571
281	8.757148916
282	8.756993758
283	8.756728026
284	8.756444883
285	8.756409716
286	8.756138164
287	8.755835786
288	8.755498952
289	8.755274147
290	8.755181323
291	8.75499132
292	8.754768315
293	8.754527174
294	8.754483296
295	8.754155476
296	8.753895822
297	8.753740606
298	8.753540055
299	8.753256084
300	8.75298117
301	8.752820498
302	8.752650755
303	8.752552099
304	8.752406653
305	8.752134615
306	8.751945997
307	8.751767168
308	8.75148314
309	8.751191846
310	8.750947704
311	8.750664737
312	8.750401351
313	8.750056326
314	8.749853514
315	8.749437352
316	8.749220011
317	8.749044755
318	8.748858248
319	8.748675002
320	8.748515702
321	8.748323377
322	8.748074437
323	8.747906779
324	8.747773957
325	8.747559478
326	8.747410683
327	8.747198735
328	8.746850317
329	8.74665106
330	8.746425665
331	8.746141099
332	8.746036926
333	8.745856888
334	8.745643814
335	8.745570489
336	8.745400242
337	8.745212568
338	8.74495519
339	8.744727936
340	8.744578729
341	8.744358
342	8.744184099
343	8.744062838
344	8.743841733
345	8.743738258
346	8.743547281
347	8.743288401
348	8.743176205
349	8.743093782
350	8.742879552
351	8.74260286
352	8.742476857
353	8.742433282
354	8.742251354
355	8.742112272
356	8.741992799
357	8.741809772
358	8.74151852
359	8.741232342
360	8.741138642
361	8.740927995
362	8.740745673
363	8.740529932
364	8.740322176
365	8.740109694
366	8.74006647
367	8.739866695
368	8.739653838
369	8.739432621
370	8.739240823
371	8.739005428
372	8.738824882
373	8.738652688
374	8.738489572
375	8.738318098
376	8.738220733
377	8.738191306
378	8.738015829
379	8.73782182
380	8.737588204
381	8.737369115
382	8.737229593
383	8.737003954
384	8.736741974
385	8.736553023
386	8.736391686
387	8.73619546
388	8.736064277
389	8.735874221
390	8.735723046
391	8.735521354
392	8.735408696
393	8.735214992
394	8.735062715
395	8.73494787
396	8.734784321
397	8.734751611
398	8.734548807
399	8.734465212
400	8.73423296
401	8.733921463
402	8.733743356
403	8.733629948
404	8.733465284
405	8.733217738
406	8.733034164
407	8.732914566
408	8.732789514
409	8.732625198
410	8.73242707
411	8.732290378
412	8.732123871
413	8.731893738
414	8.731819571
415	8.73163524
416	8.731551618
417	8.731330923
418	8.731222937
419	8.73102914
420	8.730869154
421	8.730696803
422	8.730608081
423	8.730437542
424	8.730302637
425	8.730177911
