iter	Passed	Remaining
0	28	47416
1	58	48349
2	88	48808
3	116	48057
4	144	47858
5	171	47295
6	198	46783
7	226	46875
8	254	46674
9	283	46697
10	310	46539
11	336	46239
12	363	46037
13	391	46042
14	418	45899
15	446	45923
16	474	45813
17	501	45737
18	528	45681
19	555	45554
20	584	45651
21	612	45637
22	642	45717
23	670	45686
24	700	45821
25	732	46021
26	759	45919
27	786	45819
28	815	45867
29	843	45831
30	871	45820
31	898	45721
32	925	45610
33	952	45537
34	979	45493
35	1007	45464
36	1035	45427
37	1062	45332
38	1094	45484
39	1121	45439
40	1148	45358
41	1178	45396
42	1205	45343
43	1232	45276
44	1260	45235
45	1289	45227
46	1319	45290
47	1348	45282
48	1376	45244
49	1404	45211
50	1432	45183
51	1459	45123
52	1486	45067
53	1512	44972
54	1539	44916
55	1569	44954
56	1597	44913
57	1623	44850
58	1651	44816
59	1696	45231
60	1724	45199
61	1749	45092
62	1775	45002
63	1803	44969
64	1829	44895
65	1858	44891
66	1885	44839
67	1913	44799
68	1937	44684
69	1966	44658
70	1996	44690
71	2026	44697
72	2056	44711
73	2087	44748
74	2115	44699
75	2139	44592
76	2166	44533
77	2194	44515
78	2220	44443
79	2242	44293
80	2270	44267
81	2298	44226
82	2325	44186
83	2355	44190
84	2380	44101
85	2407	44060
86	2434	44017
87	2464	44019
88	2491	43973
89	2519	43949
90	2547	43928
91	2574	43885
92	2601	43841
93	2628	43787
94	2656	43755
95	2682	43710
96	2709	43664
97	2736	43611
98	2760	43529
99	2787	43483
100	2814	43437
101	2841	43406
102	2861	43259
103	2888	43216
104	2915	43176
105	2943	43154
106	2966	43056
107	2992	43002
108	3020	42977
109	3049	42972
110	3076	42937
111	3103	42900
112	3131	42868
113	3159	42853
114	3187	42827
115	3215	42800
116	3242	42758
117	3270	42735
118	3298	42719
119	3327	42696
120	3356	42688
121	3385	42681
122	3414	42665
123	3444	42662
124	3473	42657
125	3501	42632
126	3528	42597
127	3557	42576
128	3587	42573
129	3615	42547
130	3642	42519
131	3670	42485
132	3696	42438
133	3724	42419
134	3752	42393
135	3780	42365
136	3808	42334
137	3834	42295
138	3863	42272
139	3890	42238
140	3918	42212
141	3944	42169
142	3969	42108
143	3995	42067
144	4021	42016
145	4048	41978
146	4075	41945
147	4102	41910
148	4132	41910
149	4160	41879
150	4189	41864
151	4216	41830
152	4243	41796
153	4267	41734
154	4295	41703
155	4322	41675
156	4351	41660
157	4378	41625
158	4406	41595
159	4434	41574
160	4465	41574
161	4494	41561
162	4518	41497
163	4545	41465
164	4573	41442
165	4600	41405
166	4627	41369
167	4654	41332
168	4680	41296
169	4707	41256
170	4738	41259
171	4766	41233
172	4794	41210
173	4822	41183
174	4848	41145
175	4877	41122
176	4904	41091
177	4930	41052
178	4959	41036
179	4987	41010
180	5015	40985
181	5044	40961
182	5070	40920
183	5097	40889
184	5124	40858
185	5151	40826
186	5181	40814
187	5208	40785
188	5236	40757
189	5263	40722
190	5290	40687
191	5321	40684
192	5342	40608
193	5368	40570
194	5399	40563
195	5426	40532
196	5453	40502
197	5485	40502
198	5512	40474
199	5538	40431
200	5567	40413
201	5594	40383
202	5621	40350
203	5650	40326
204	5678	40303
205	5702	40252
206	5736	40264
207	5764	40238
208	5790	40199
209	5817	40168
210	5846	40150
211	5873	40119
212	5903	40106
213	5932	40083
214	5959	40056
215	5988	40034
216	6016	40010
217	6044	39980
218	6069	39938
219	6097	39908
220	6124	39876
221	6153	39861
222	6181	39833
223	6208	39802
224	6235	39771
225	6264	39751
226	6292	39725
227	6319	39692
228	6347	39662
229	6375	39638
230	6402	39606
231	6425	39550
232	6452	39517
233	6480	39492
234	6507	39460
235	6535	39434
236	6562	39405
237	6590	39377
238	6623	39380
239	6658	39393
240	6686	39367
241	6712	39334
242	6740	39307
243	6769	39286
244	6796	39253
245	6821	39210
246	6851	39192
247	6877	39159
248	6906	39138
249	6933	39106
250	6962	39083
251	6990	39057
252	7017	39023
253	7045	39001
254	7073	38972
255	7099	38936
256	7127	38910
257	7155	38884
258	7183	38860
259	7211	38831
260	7238	38798
261	7266	38770
262	7296	38758
263	7323	38727
264	7351	38698
265	7380	38676
266	7409	38659
267	7441	38650
268	7468	38621
269	7492	38574
270	7519	38540
271	7546	38508
272	7574	38483
273	7603	38461
274	7629	38426
275	7654	38385
276	7681	38349
277	7710	38329
278	7737	38300
279	7768	38285
280	7788	38220
281	7814	38187
282	7842	38160
283	7872	38142
284	7899	38112
285	7927	38084
286	7954	38053
287	7982	38026
288	8008	37994
289	8036	37965
290	8064	37939
291	8091	37907
292	8116	37869
293	8142	37834
294	8171	37811
295	8198	37778
296	8224	37745
297	8255	37730
298	8283	37706
299	8310	37676
300	8339	37653
301	8366	37620
302	8394	37595
303	8421	37563
304	8447	37530
305	8477	37512
306	8504	37482
307	8531	37451
308	8559	37423
309	8585	37389
310	8612	37356
311	8638	37323
312	8666	37296
313	8693	37266
314	8724	37253
315	8752	37226
316	8783	37213
317	8812	37190
318	8839	37159
319	8866	37129
320	8894	37101
321	8919	37064
322	8947	37036
323	8975	37008
324	9001	36974
325	9027	36942
326	9055	36916
327	9084	36890
328	9110	36859
329	9138	36831
330	9167	36808
331	9198	36794
332	9227	36769
333	9258	36757
334	9287	36733
335	9315	36706
336	9341	36674
337	9368	36643
338	9396	36617
339	9423	36585
340	9450	36555
341	9479	36533
342	9507	36505
343	9536	36483
344	9565	36458
345	9592	36427
346	9619	36398
347	9648	36376
348	9679	36360
349	9707	36333
350	9734	36305
351	9764	36282
352	9791	36254
353	9819	36225
354	9849	36206
355	9881	36194
356	9909	36169
357	9938	36145
358	9966	36118
359	9995	36093
360	10022	36064
361	10049	36033
362	10077	36005
363	10104	35977
364	10133	35953
365	10162	35930
366	10191	35906
367	10219	35881
368	10247	35851
369	10278	35835
370	10302	35795
371	10331	35772
372	10360	35748
373	10389	35725
374	10417	35698
375	10445	35670
376	10475	35648
377	10505	35630
378	10533	35601
379	10562	35578
380	10588	35546
381	10618	35526
382	10646	35499
383	10675	35474
384	10706	35457
385	10748	35476
386	10778	35454
387	10806	35427
388	10837	35408
389	10872	35406
390	10903	35387
391	10934	35370
392	10965	35352
393	10996	35335
394	11026	35311
395	11054	35286
396	11084	35263
397	11113	35240
398	11142	35213
399	11170	35187
400	11200	35166
401	11228	35136
402	11254	35103
403	11281	35072
404	11304	35031
405	11332	35003
406	11359	34972
407	11386	34939
408	11413	34911
409	11443	34888
410	11471	34862
411	11500	34835
412	11528	34808
413	11560	34794
414	11591	34775
415	11618	34745
416	11644	34709
417	11673	34685
418	11702	34661
419	11730	34631
420	11757	34602
421	11785	34574
422	11811	34541
423	11839	34512
424	11866	34481
425	11893	34451
426	11920	34421
427	11948	34394
428	11975	34362
429	12001	34329
430	12028	34300
431	12057	34274
432	12085	34246
433	12111	34214
434	12136	34176
435	12164	34148
436	12192	34123
437	12219	34091
438	12246	34060
439	12274	34033
440	12301	34003
441	12329	33975
442	12356	33945
443	12378	33900
444	12407	33875
445	12434	33846
446	12463	33821
447	12492	33796
448	12519	33767
449	12549	33743
450	12577	33716
451	12605	33689
452	12630	33653
453	12660	33630
454	12690	33607
455	12719	33585
456	12748	33557
457	12778	33536
458	12807	33511
459	12836	33486
460	12866	33465
461	12897	33443
462	12927	33422
463	12956	33396
464	12985	33371
465	13016	33351
466	13044	33323
467	13075	33303
468	13103	33276
469	13131	33247
470	13158	33218
471	13184	33184
472	13215	33163
473	13243	33135
474	13273	33113
475	13301	33084
476	13333	33068
477	13362	33041
478	13390	33015
479	13415	32980
480	13442	32950
481	13470	32921
482	13498	32894
483	13525	32864
484	13553	32835
485	13583	32813
486	13612	32786
487	13639	32756
488	13666	32726
489	13695	32702
490	13724	32676
491	13751	32646
492	13779	32618
493	13806	32587
494	13831	32553
495	13860	32526
496	13888	32499
497	13914	32467
498	13942	32439
499	13971	32412
500	13997	32381
501	14024	32352
502	14051	32321
503	14078	32291
504	14107	32265
505	14134	32235
506	14161	32205
507	14190	32179
508	14218	32153
509	14246	32125
510	14274	32097
511	14302	32068
512	14330	32040
513	14356	32009
514	14385	31983
515	14412	31952
516	14442	31929
517	14469	31900
518	14498	31875
519	14528	31850
520	14554	31818
521	14583	31792
522	14612	31768
523	14639	31738
524	14668	31712
525	14705	31702
526	14735	31679
527	14765	31656
528	14795	31633
529	14824	31607
530	14855	31585
531	14885	31560
532	14912	31530
533	14939	31502
534	14965	31469
535	14991	31438
